,p1,p2,r1,r2,lead,follower,larger_score,total_score,performance
0,S Dhawan,PP Shaw,18.0,9.0,S Dhawan,PP Shaw,18.0,27.0,0.6664198445020363
1,S Dhawan,RR Pant,12.5,21.0,RR Pant,S Dhawan,21.0,33.5,0.6266786034019696
2,MP Stoinis,RR Pant,14.0,4.0,MP Stoinis,RR Pant,14.0,18.0,0.7773459189339256
3,SO Hetmyer,RR Pant,16.0,20.5,RR Pant,SO Hetmyer,20.5,36.5,0.5614900027389756
4,S Dhawan,AM Rahane,5.0,6.0,AM Rahane,S Dhawan,6.0,11.0,0.5449591280653951
5,AM Rahane,RR Pant,3.0,15.0,RR Pant,AM Rahane,15.0,18.0,0.8328706274292059
6,Lalit Yadav,RR Pant,6.0,7.0,RR Pant,Lalit Yadav,7.0,13.0,0.5380476556495004
7,TK Curran,Lalit Yadav,6.0,6.0,TK Curran,Lalit Yadav,6.0,12.0,0.4995836802664446
8,CR Woakes,TK Curran,13.0,15.0,TK Curran,CR Woakes,15.0,28.0,0.5355230274901821
9,R Ashwin,CR Woakes,0.0,6.0,CR Woakes,R Ashwin,6.0,6.0,0.9983361064891847
10,CR Woakes,K Rabada,2.0,9.0,K Rabada,CR Woakes,9.0,11.0,0.8174386920980926
11,S Dhawan,SPD Smith,23.5,17.5,S Dhawan,SPD Smith,23.5,41.0,0.5730309680565716
12,MP Stoinis,Lalit Yadav,12.0,5.0,MP Stoinis,Lalit Yadav,12.0,17.0,0.7054673721340388
13,S Dhawan,Lalit Yadav,10.0,25.0,Lalit Yadav,S Dhawan,25.0,35.0,0.7140816909454442
14,SO Hetmyer,Lalit Yadav,5.0,19.5,Lalit Yadav,SO Hetmyer,19.5,24.5,0.795593635250918
15,RR Pant,PP Shaw,2.0,5.0,PP Shaw,RR Pant,5.0,7.0,0.7132667617689016
16,SPD Smith,RR Pant,11.0,21.0,RR Pant,SPD Smith,21.0,32.0,0.6560449859418932
17,SPD Smith,SO Hetmyer,1.0,2.0,SO Hetmyer,SPD Smith,2.0,3.0,0.6644518272425249
18,SPD Smith,MP Stoinis,2.0,11.0,MP Stoinis,SPD Smith,11.0,13.0,0.8455034588777863
19,SPD Smith,PP Shaw,0.5,2.5,PP Shaw,SPD Smith,2.5,3.0,0.8305647840531563
20,MP Stoinis,SO Hetmyer,6.0,0.0,MP Stoinis,SO Hetmyer,6.0,6.0,0.9983361064891847
21,S Dhawan,SO Hetmyer,1.0,8.5,SO Hetmyer,S Dhawan,8.5,9.5,0.8937960042060988
22,S Dhawan,SS Iyer,25.0,8.0,S Dhawan,SS Iyer,25.0,33.0,0.757346258709482
23,SS Iyer,RR Pant,19.0,7.0,SS Iyer,RR Pant,19.0,26.0,0.7304882737408689
24,SS Iyer,PP Shaw,6.5,1.5,SS Iyer,PP Shaw,6.5,8.0,0.8114856429463171
25,SS Iyer,SO Hetmyer,16.0,5.5,SS Iyer,SO Hetmyer,16.0,21.5,0.7438400743840073
26,AR Patel,Lalit Yadav,12.0,6.0,AR Patel,Lalit Yadav,12.0,18.0,0.6662965019433648
27,R Ashwin,Lalit Yadav,4.0,6.0,Lalit Yadav,R Ashwin,6.0,10.0,0.5994005994005994
28,SPD Smith,SS Iyer,3.0,1.0,SPD Smith,SS Iyer,3.0,4.0,0.7481296758104738
29,AR Patel,RR Pant,0.0,1.0,RR Pant,AR Patel,1.0,1.0,0.9900990099009901
30,R Ashwin,RR Pant,9.0,18.0,RR Pant,R Ashwin,18.0,27.0,0.6664198445020363
31,K Rabada,RR Pant,0.0,0.0,K Rabada,RR Pant,0.0,0.0,0.0
32,K Rabada,Avesh Khan,5.0,0.0,K Rabada,Avesh Khan,5.0,5.0,0.9980039920159681
33,AR Patel,SS Iyer,6.5,11.0,SS Iyer,AR Patel,11.0,17.5,0.6282124500285551
34,R Ashwin,SS Iyer,20.0,17.0,R Ashwin,SS Iyer,20.0,37.0,0.5403944879762227
35,S Dhawan,RV Patel,18.0,4.0,S Dhawan,RV Patel,18.0,22.0,0.8178100863243979
36,R Ashwin,S Dhawan,2.0,3.0,S Dhawan,R Ashwin,3.0,5.0,0.5988023952095809
37,AR Patel,SO Hetmyer,5.0,27.0,SO Hetmyer,AR Patel,27.0,32.0,0.8434864104967198
38,K Rabada,SO Hetmyer,4.0,0.0,K Rabada,SO Hetmyer,4.0,4.0,0.9975062344139651
39,SO Hetmyer,RV Patel,7.0,12.0,RV Patel,SO Hetmyer,12.0,19.0,0.6312467122567069
40,AR Patel,PP Shaw,10.0,17.0,PP Shaw,AR Patel,17.0,27.0,0.6293965198074787
41,TK Curran,RR Pant,9.0,0.0,TK Curran,RR Pant,9.0,9.0,0.9988901220865705
42,S Dhawan,MP Stoinis,18.0,18.0,S Dhawan,MP Stoinis,18.0,36.0,0.49986114968064427
