,p1,p2,r1,r2,lead,follower,larger_score,total_score,performance
0,N Rana,Shubman Gill,12.0,11.0,N Rana,Shubman Gill,12.0,23.0,0.5215123859191656
1,RA Tripathi,N Rana,8.0,10.0,N Rana,RA Tripathi,10.0,18.0,0.555247084952804
2,AD Russell,N Rana,12.5,7.0,AD Russell,N Rana,12.5,19.5,0.6406970784213224
3,EJG Morgan,N Rana,2.0,2.0,EJG Morgan,N Rana,2.0,4.0,0.49875311720698257
4,KD Karthik,EJG Morgan,2.0,4.0,EJG Morgan,KD Karthik,4.0,6.0,0.6655574043261232
5,KD Karthik,Shakib Al Hasan,11.0,1.5,KD Karthik,Shakib Al Hasan,11.0,12.5,0.8792965627498002
6,Shakib Al Hasan,N Rana,5.0,9.0,N Rana,Shakib Al Hasan,9.0,14.0,0.6423982869379015
7,KD Karthik,AD Russell,11.0,12.0,AD Russell,KD Karthik,12.0,23.0,0.5215123859191656
8,KD Karthik,PJ Cummins,0.0,1.0,PJ Cummins,KD Karthik,1.0,1.0,0.9900990099009901
9,Harbhajan Singh,KD Karthik,2.0,0.0,Harbhajan Singh,KD Karthik,2.0,2.0,0.9950248756218907
10,EJG Morgan,Shakib Al Hasan,4.0,9.0,Shakib Al Hasan,EJG Morgan,9.0,13.0,0.6917755572636434
11,Shakib Al Hasan,AD Russell,30.0,10.0,Shakib Al Hasan,AD Russell,30.0,40.0,0.7498125468632842
12,AD Russell,PJ Cummins,14.5,8.5,AD Russell,PJ Cummins,14.5,23.0,0.6301607996523251
13,Harbhajan Singh,AD Russell,1.0,0.0,Harbhajan Singh,AD Russell,1.0,1.0,0.9900990099009901
14,Harbhajan Singh,CV Varun,2.0,2.0,Harbhajan Singh,CV Varun,2.0,4.0,0.49875311720698257
15,EJG Morgan,RA Tripathi,2.0,7.0,RA Tripathi,EJG Morgan,7.0,9.0,0.7769145394006659
16,SP Narine,RA Tripathi,1.5,2.0,RA Tripathi,SP Narine,2.0,3.5,0.5698005698005698
17,KD Karthik,RA Tripathi,5.0,1.5,KD Karthik,RA Tripathi,5.0,6.5,0.7680491551459294
18,PJ Cummins,KL Nagarkoti,0.0,30.0,KL Nagarkoti,PJ Cummins,30.0,30.0,0.9996667777407531
19,PJ Cummins,CV Varun,0.0,17.0,CV Varun,PJ Cummins,17.0,17.0,0.9994121105232215
20,PJ Cummins,M Prasidh Krishna,0.0,1.0,M Prasidh Krishna,PJ Cummins,1.0,1.0,0.9900990099009901
21,PJ Cummins,Shivam Mavi,9.0,5.0,PJ Cummins,Shivam Mavi,9.0,14.0,0.6423982869379015
22,M Prasidh Krishna,Shivam Mavi,0.0,0.0,M Prasidh Krishna,Shivam Mavi,0.0,0.0,0.0
23,RA Tripathi,Shubman Gill,8.0,7.0,RA Tripathi,Shubman Gill,8.0,15.0,0.5329780146568954
24,EJG Morgan,AD Russell,10.0,5.0,EJG Morgan,AD Russell,10.0,15.0,0.6662225183211192
25,EJG Morgan,Shubman Gill,0.5,7.0,Shubman Gill,EJG Morgan,7.0,7.5,0.9320905459387484
26,SP Narine,Shubman Gill,1.0,1.0,SP Narine,Shubman Gill,1.0,2.0,0.49751243781094534
27,AD Russell,Shubman Gill,3.0,4.0,Shubman Gill,AD Russell,4.0,7.0,0.5706134094151213
28,VR Iyer,Shubman Gill,30.0,20.5,VR Iyer,Shubman Gill,30.0,50.5,0.593941793704217
29,AD Russell,VR Iyer,0.0,12.0,VR Iyer,AD Russell,12.0,12.0,0.9991673605328892
30,RA Tripathi,VR Iyer,27.5,21.5,RA Tripathi,VR Iyer,27.5,49.0,0.5611099775556009
31,KD Karthik,N Rana,9.5,15.0,N Rana,KD Karthik,15.0,24.5,0.6119951040391677
32,SP Narine,N Rana,4.0,21.0,N Rana,SP Narine,21.0,25.0,0.8396641343462614
33,TG Southee,N Rana,1.0,3.0,N Rana,TG Southee,3.0,4.0,0.7481296758104738
34,LH Ferguson,N Rana,0.0,4.0,N Rana,LH Ferguson,4.0,4.0,0.9975062344139651
35,N Rana,VR Iyer,13.0,14.0,VR Iyer,N Rana,14.0,27.0,0.518326545723806
36,KD Karthik,TL Seifert,1.0,2.0,TL Seifert,KD Karthik,2.0,3.0,0.6644518272425249
37,KD Karthik,SP Narine,5.0,3.0,KD Karthik,SP Narine,5.0,8.0,0.6242197253433208
38,EJG Morgan,SP Narine,10.0,4.0,EJG Morgan,SP Narine,10.0,14.0,0.7137758743754461
39,Shakib Al Hasan,RA Tripathi,1.0,0.0,Shakib Al Hasan,RA Tripathi,1.0,1.0,0.9900990099009901
40,RA Tripathi,LH Ferguson,0.0,6.0,LH Ferguson,RA Tripathi,6.0,6.0,0.9983361064891847
41,EJG Morgan,LH Ferguson,0.0,2.0,LH Ferguson,EJG Morgan,2.0,2.0,0.9950248756218907
42,LH Ferguson,Shivam Mavi,15.0,20.0,Shivam Mavi,LH Ferguson,20.0,35.0,0.5712653527563554
43,LH Ferguson,CV Varun,0.0,1.0,CV Varun,LH Ferguson,1.0,1.0,0.9900990099009901
