,p1,p2,r1,r2,lead,follower,larger_score,total_score,performance
0,V Kohli,Washington Sundar,19.0,10.0,V Kohli,Washington Sundar,19.0,29.0,0.6549465701482247
1,V Kohli,RM Patidar,11.5,12.0,RM Patidar,V Kohli,12.0,23.5,0.5104210974053593
2,V Kohli,GJ Maxwell,30.5,13.0,V Kohli,GJ Maxwell,30.5,43.5,0.7009882785566537
3,AB de Villiers,GJ Maxwell,4.0,12.0,GJ Maxwell,AB de Villiers,12.0,16.0,0.7495315427857588
4,AB de Villiers,Shabhaz Ahmed,3.0,7.5,Shabhaz Ahmed,AB de Villiers,7.5,10.5,0.7136060894386299
5,DT Christian,AB de Villiers,1.0,1.0,DT Christian,AB de Villiers,1.0,2.0,0.49751243781094534
6,AB de Villiers,KA Jamieson,26.0,4.0,AB de Villiers,KA Jamieson,26.0,30.0,0.866377874041986
7,AB de Villiers,HV Patel,2.0,3.0,HV Patel,AB de Villiers,3.0,5.0,0.5988023952095809
8,HV Patel,Mohammed Siraj,3.0,1.0,HV Patel,Mohammed Siraj,3.0,4.0,0.7481296758104738
9,V Kohli,D Padikkal,14.0,10.0,V Kohli,D Padikkal,14.0,24.0,0.5830903790087463
10,V Kohli,Shabhaz Ahmed,14.0,13.0,V Kohli,Shabhaz Ahmed,14.0,27.0,0.518326545723806
11,GJ Maxwell,Washington Sundar,6.0,4.5,GJ Maxwell,Washington Sundar,6.0,10.5,0.570884871550904
12,DT Christian,GJ Maxwell,1.0,3.0,GJ Maxwell,DT Christian,3.0,4.0,0.7481296758104738
13,GJ Maxwell,KA Jamieson,14.0,12.0,GJ Maxwell,KA Jamieson,14.0,26.0,0.5382545174932718
14,GJ Maxwell,HV Patel,6.0,1.0,GJ Maxwell,HV Patel,6.0,7.0,0.8559201141226819
15,RM Patidar,D Padikkal,1.0,0.5,RM Patidar,D Padikkal,1.0,1.5,0.6622516556291391
16,GJ Maxwell,D Padikkal,7.5,21.5,D Padikkal,GJ Maxwell,21.5,29.0,0.7411237504308859
17,Washington Sundar,D Padikkal,2.0,6.0,D Padikkal,Washington Sundar,6.0,8.0,0.7490636704119851
18,HV Patel,KA Jamieson,7.0,5.0,HV Patel,KA Jamieson,7.0,12.0,0.5828476269775188
19,KA Jamieson,NA Saini,2.0,2.0,KA Jamieson,NA Saini,2.0,4.0,0.49875311720698257
20,YS Chahal,KA Jamieson,8.0,1.0,YS Chahal,KA Jamieson,8.0,9.0,0.8879023307436182
21,YS Chahal,Mohammed Siraj,9.0,4.5,YS Chahal,Mohammed Siraj,9.0,13.5,0.6661732050333087
