index,team,player_1,player_2,score_1,score_2
0,Chennai Super Kings,F du Plessis,RD Gaikwad,0,5
1,Chennai Super Kings,MM Ali,RD Gaikwad,0,0
2,Chennai Super Kings,SK Raina,MM Ali,16,36
3,Chennai Super Kings,AT Rayudu,SK Raina,23,35
4,Chennai Super Kings,SK Raina,RA Jadeja,3,10
5,Chennai Super Kings,MS Dhoni,RA Jadeja,0,0
6,Chennai Super Kings,RA Jadeja,SM Curran,16,34
,,,,,
7,Chennai Super Kings,F du Plessis,RD Gaikwad,14,5
8,Chennai Super Kings,MM Ali,F du Plessis,46,19
9,Chennai Super Kings,SK Raina,F du Plessis,8,0
10,Chennai Super Kings,AT Rayudu,F du Plessis,0,0
11,Chennai Super Kings,F du Plessis,SM Curran,3,5
,,,,,
12,Chennai Super Kings,F du Plessis,RD Gaikwad,15,10
13,Chennai Super Kings,MM Ali,F du Plessis,2,18
14,Chennai Super Kings,SK Raina,MM Ali,2,24
15,Chennai Super Kings,AT Rayudu,SK Raina,27,16
16,Chennai Super Kings,SK Raina,RA Jadeja,0,1
17,Chennai Super Kings,MS Dhoni,RA Jadeja,18,3
18,Chennai Super Kings,RA Jadeja,SM Curran,4,12
19,Chennai Super Kings,DJ Bravo,SM Curran,8,1
20,Chennai Super Kings,DJ Bravo,SN Thakur,4,1
21,Chennai Super Kings,DJ Bravo,DL Chahar,8,0
,,,,,
22,Chennai Super Kings,F du Plessis,RD Gaikwad,48,64
23,Chennai Super Kings,MM Ali,F du Plessis,25,19
24,Chennai Super Kings,MS Dhoni,F du Plessis,17,15
25,Chennai Super Kings,F du Plessis,RA Jadeja,13,6
,,,,,
26,Chennai Super Kings,F du Plessis,RD Gaikwad,38,33
27,Chennai Super Kings,SK Raina,F du Plessis,24,12
28,Chennai Super Kings,AT Rayudu,F du Plessis,0,0
29,Chennai Super Kings,AT Rayudu,RA Jadeja,14,17
30,Chennai Super Kings,MS Dhoni,RA Jadeja,2,45
,,,,,
31,Chennai Super Kings,F du Plessis,RD Gaikwad,53,75
32,Chennai Super Kings,MM Ali,F du Plessis,15,3
33,Chennai Super Kings,F du Plessis,RA Jadeja,0,0
34,Chennai Super Kings,SK Raina,RA Jadeja,17,7
,,,,,
35,Chennai Super Kings,F du Plessis,RD Gaikwad,0,4
36,Chennai Super Kings,MM Ali,F du Plessis,58,48
